H. C. Andersens Boulevard,18,1553
Danneskiold-Samsøes Allé,41,1434
Nørre Voldgade,56,1358
Strandgade,36,1401
Holmens Kanal,18,1060
Bredgade,65,1260
Øster Farimagsgade,5,1353
Sankt Peders Stræde,2,1453
Sundkrogsgade,7,2100
Dampfærgevej,29,2100
Østerbrogade,41,2100
Universitetsparken,2,2100
Nørre Allé,41,2200
Nørrebrogade,58,2200
Tagensvej,101,2200
Vesterbrogade,20,1620
A. C. Meyers Vænge,15,2450
Vesterbrogade,118,1620
Valby Langgade,68,2500
Gammel Køge Landevej,39,2500
Sallingvej,11,2720
Frederikssundsvej,154,2700
Bispebjerg Bakke,21,2400
Tuborgvej,164,2400
Amagerbrogade,41,2300
Øresundsvej,49,2300
Njalsgade,104,2300
Kaj Munks Vej,3,2300
Ørestads Boulevard,88,2300
Amagerbrogade,141,2300
